id,entry
1,"(†) 102377. Bulwer, A. J., Milan, V. St. A.; Vertr.: Dr S. Hamburger, Berlin, Leipzigerstr. 19. Feuerungsrost. 6/4 98. — A 466."
2,"102378. Meurer, O., Köln. Verfahren, flüssige Kohlenwasserstoffe, Petroleumrückstände, Theer, Naphta u. s. w. zu verbrennen. 5/5 98. — A 449."
3,"102379. Wezel, J., Leipzig, Dresdenerstr. 17. Luftabschließender Brennstoffbeschicker für Feuerungen. 25/6 98. — A 486."
4,"102380. Humphrey, Ch., Almond, V. St. A.; Vertr.: M. J. Hahlo, Berlin, Luisenstr. 39. Sauggebläse zum Abführen von Rauch und Abdampf. 20/7 98. — A 466."
5,"102381. Wegener, C., Berlin, Gitschinerstr. 14/15. Verbrennungsöfen für Müll u. dgl.; Zus. z. Pat. 90797. 25/8 98. — A 467."
6,"102406. Tirley, A., Eperjes, Ung.; Vertr.: H. Pataky u. W. Pataky, Berlin, Luisenstr. 25. Selbstthätige Zugregelung für Feuerungen. 7/7 98. — A 449."
7,"102651. Industrie-Aktiengesellschaft Lichtenberg, Berlin. Feuerungsanlage. 23/3 97. — A 467."
8,"102652. Russell, W. M., u. T. Asencio, New-York; Vertr.: A. Baermann, Berlin, Karlstr. 40. Kohlenstaubfeuerung. 31/8 98. — A 522."
9,"(†) 102677. Wegmann-Hauser, A., Enge-Zürich; Vertr.: C. Pieper, H. Springmann u. Th. Stort, Berlin, Hindersinstr. 3. Beschickungs-Vorrichtung. 31/7 97. — A 536."
10,"102678. Gasch, H., Friedenshütte b. Morgenroth, O/S. Roßfeuerung. 4/1 98. — A 449."
11,"102679. Bechem, A., i. F. Bechem & Post, Hagen i/W. Zugregler. 13/5 98. — A 467."
12,"102762. Epstein, G. F., Berlin, Spandauerstr. 11. Hohler, mit seitlichen Dampfausströmungsöffnungen versehener Rost. 18/6 97. — A 467."
13,"102763. Hilmers, L., Altona, Schauenburgerstr. 110. Stehrost zur Luftzuführung bei Füllschächten u. s. w. 1/3 98. — A 467."
14,"102901. Groll, Ch., Roubaix; Vertr.: C. Franke, Berlin, Luisenstr. 31. Feuerung; Zus. z. Pat. 94818. 29/3 98. — A 467."
15,"102970. Thornycroft, J. J., Chiswick, Engl.; Vertr.: C. Fehlert u. G. Loubier, Berlin, Dorotheenstr. 32. Feuerung für Wasserröhrenkessel. 5/11 97. — A 536."
16,"103068. Adler, L., u. Firma S. J. Arnheim, Berlin, Badstr. 40/41. Verfahren, Abfallstoffe unschädlich zu machen. 20/10 98. — A 594."
17,"103317. Weir, J., Cathcart, Glasgow; Vertr.: A. Baermann, Berlin, Karlstr. 40. Röhrenkessel. 8/10 97. — A 558."
18,"103318. Oberschlesische Kesselwerke B. Meyer, Bahnhof Gleiwitz, O/S. Kolben für mechanische Rostbeschickungsvorrichtungen. 18/9 98. — A 595."
19,"103372. Dwinnell, D. L., Montreal, Canada; Vertr.: A. Mühle u. W. Ziolecki, Berlin, Friedrichstr. 78. Feuerungsanlage mit Zuführung der aus dem verkokenden Brennstoff aufsteigenden und mit Luft vermischten Gase zur Verbrennungsstelle. 10/11 97. — A 610."
20,"103523. Bromell, A. E. G., Liverpool; Vertr.: C. Fr. Reichelt u. R. Scherpe, Berlin, Luisenstr. 36. Feuer-Reiniger. 30/1 98. — A 632."
21,"103524. Eisenwerke Hirzenhain & Lollar, Lollar. Gliederkessel. 22/4 98. — A 632."
22,"103525. Arnheim, S. J., Berlin, Badstr. 40/41. Fäkalien-Verbrennungsöfen; Zus. z. Pat. 91790. 15/11 98. — A 633."
23,"103691. Hollrieder, M., München, Lindwurmstr. 183. Feuerung. 23/12 97. — A 633."
24,"103692. Piron, H. J., Brüssel; Vertr.: A. Schmehlik, Berlin, Luisenstr. 47. Feuerung für flüssige Kohlenwasserstoffe. 24/7 98. — A 633."
25,"103738. Schumann, J., Lemberg; Vertr.: J. Scheibner, Oppeln. Feuerungsanlage. 12/10 97. — A 653."
26,"103739. Wiegmann, G., Berlin, Prenzlauer Allee 3. Gußeiserner Gliederkessel. 19/1 98. — A 680."
27,"103740. Brünler, D., Eilenburg. Anzündevorrichtung für Brenner ohne äußere Luftzufuhr. 19/1 98. — A 653."
28,"103869. de Roussy de Sales, G., u. A. Charbonnel, Lyon; Vertr.: F. C. Glaser u. L. Glaser, Berlin, Lindenstr. 80. Feuerungsanlage für schwere Kohlenwasserstoffe. 28/1 98. — A 653."
29,"103870. Chambost, P. J. C. E., Liverpool; Vertr.: V. Reichhold u. F. Nusch, Berlin, Luisenstr. 24. Feuerung für flüssige Brennstoffe. 30/4 98. — A 653."
30,"103871. Ruthel, H., Erfurt, Mezerstr. 18. Feuerungsanlage. 6/7 98. — A 654."
31,"103872. Marcotty, F., Berlin, Kleiststr. 23. Vorrichtung zum Einlassen von Oberluft bei Feuerungen. 8/9 98. — A 654."
32,"103936. Wolf, G., Wolfshöhe, Bayern. Kesselfeuerung. 11/5 98. — A 680."
33,"103937. Benator, F., Cassel, Weserstr. 16. Schornsteinaufsatz. 15/11 98. — A 654."
34,"103998. Symon, R. R., London; Vertr.: H. Pataky u. W. Pataky, Berlin, Luisenstr. 25. Vorrichtung zur Regelung des Zuflusses flüssigen oder vergasten Brennstoffes. 24/4 98. — A 696."
35,"103999. Wiedenbrück & Wilms, Köln-Ehrenfeld, Grüner Weg 4. Roststab; Zus. z. Pat. 87958. 20/7 98. — A 696."
36,"104000. Wiedenbrück & Wilms, Köln-Ehrenfeld, Grüner Weg 4. Rostanordnung. 20/7 98. — A 696."
37,"104118. Topf, J. A., & Söhne, Erfurt. Oberlufteinführung in Kesselflammrohre. 5/6 98. — A 756."
38,"104119. Steckmann, Th., Schlawe i/P. Funkenfänger. 23/8 98. — A 756."
39,"104201. Vicars der Aeltere, J., Th. Vicars u. J. Vicars der Jüngere, Liverpool; Vertr.: C. H. Knoop, Dresden. Luftvorwärmkammer zur Einführung von Luft über der Rostfläche in die Brennstoffschicht. 9/12 97. — A 756."
40,"104246. Gehre, M., Rath b/Düsseldorf. Beschickungsvorrichtung. 3/5 98. — A 757."
41,"(†) 104247. Schumacher, C., Leer. Dampfkesselfeuerung. 28/6 98. — A 757."
42,"104383. Epstein, G. F., Berlin, Spandauerstr. 11. Hohler Rost; Zus. z. Pat. 102762. 24/3 98. — A 757."
43,"104384. Krüger, A., Hamburg, Glockengießerwall 25. Rauch- und Rußschachtanlage. 16/11 98. — A 757."
44,"104548. Gehre, M., Rath b/Düsseldorf. Beschickungsvorrichtung. 3/5 98. — A 757."
45,"104549. Schramm, V., Aldersgehoven b/Erfurt. Gliederkessel aus hufeisenförmigen Kammerelementen; Zus. z. Pat. 98800. 6/8 98. — A 921."
46,"104759. Unger, M., Firma, Hannover, Lavestr. 52. Hohle, zur Speisewasservorwärmung oder zur Dampfüberhitzung dienende Rostüberwölbung. 3/7 98. — A 902."
47,"104760. Sonnenschein, A., Wien; Vertr.: C. Pieper, H. Springmann u. Th. Stort, Berlin, Hindersinstr. 3. Feuerfeste Drehklappe. 3/1 99. — A 882."
48,"104761. Schäfer, L., Leipzig, Bayerschestr. 93. Schornsteinaufsatz. 12/1 99. — A 882."
49,"104916. Maret, A., Wien; Vertr.: F. C. Glaser u. L. Glaser, Berlin, Lindenstr. 80. Feuerung. 24/6 97. — A 882."
50,"104917. Schrötter, M., Radebeul b/Dresden. Feuerung. 16/3 98. — A 882."
51,"104918. Donneley, J. G. A., Hamburg, 1. Neumann-"
