id,entry,complete_patent
1,"224885. Bachmann, Walter, Langengrobsdorf b/Gera. Brutapparat. 10/1 09. — A 1783.",1
2,"225018. Erlwein, Dr Georg, Berlin, Fasanenstr. 70, u. Ernst Marquardt, Carow b/Berlin. Vorrichtung zur Belüftung von Wasser in Fischbehältern. 28/2 08. — A 1815.",1
3,"225042. Mathieu, Alcide, Apt, Frankr.; Vertr.: C. Hoffmann, Pat.-Anw., Berlin S.W. 68. Angelköder mit drehbar befestigtem, beim Anbeißen des Fisches selbsttätig vorschnellendem Haken. 31/10 08. — A 1815.",1
4,"225198. Ortmann, Christian, Schependorf b/Baumgarten i/Meckl. Verfahren und Einrichtung zur Erhaltung des Stickstoffes in Harn oder Jauche. 2/5 08. — A 1815.",1
5,"225293. Klostermann, F., & Co., Berlin. Zusammenlegbarer Vogelkäfig mit einknickbaren Tragstücken. 19/2 09. — A 1863.",1
6,"226553. Schreier, Josef, Bauerwitz, O/Schl. Kupplungsvorrichtung. 16/10 09. — A 2086.",1
7,"227414. Osmers, Georg Hermann Hinrich, u. Friedrich Wilhelm Lohse, Quickborn, Holst. Selbsttätige Schließvorrichtung für Geflügelställe. 23/10 08. — A 2289.",1
8,"228767. Pries, Wilhelm, Stietenstr. 8, u. Hermann Tietz, Hafenstr. 20c, Lübeck. Geflügelkäfig mit abnehmbarem Deckel. 12/10 09.",1
9,"228906. Gehlhaar, Hugo, Oschatz i/Sa. Viehtränke. 2/3 09.",1
10,"229269. Huth, August, Coswig i/Anh. Hundedressurapparat zur Verhütung der Vergiftung der Hunde durch hingeworfenes Futter. 10/10 09.",1
11,"229583. Wiemann, Eduard, Fahrstedt b/Marne, u. Hermann Lange, Marne. Fahrbare Viehwaschanlage. 5/12 09.",1
12,"229652. Bruhn, Dr Christian Ad., Reinbek i/Holstein. Füttervorrichtung für Vögel mit über der Futterentnahmestelle angeordnetem Deckgitter. 16/2 09.",1
13,"219133. Uptegraff, Alexander G., Lenox, Mass., V. St. A.; Vertr.: Dr S. Hamburger, Pat.-Anw., Berlin S.W. 68. Hufschuh, bei welchem das Hufeisen mittels eines von der Unterseite des Hufes nach oben geführten Kettengerippes am Huf befestigt wird. 29/1 09. — A 637.",1
14,"221008 (†). Innerhofer, Anton, Mieders-Stubai, Tirol; Vertr.: Dr Waldeck, Rechtsanw., Berlin W. 8. Befestigungsvorrichtung für Hufeisengriffe. 18/10 08. — A 1020.",1
15,"223385. Schönfeld, Paul. Zschäschütz b/Döbeln. Hufeisen mit auswechselbarem Steckgriff. 26/11 08. — A 1477.",1
16,"224175. Monsma, Fedderius Johannes, Amsterdam; Vertr.: R. Deißler, Dr G. Düllner, M. Seiler, C. Maemecke u. W. Hildebrandt, Pat.-Anwälte, Berlin S.W. 61. Hufeisenstollen mit gleich langen, im gleichen Winkel zu einander stehenden Schenkeln. 14/4 09. — A 1629.",1
17,"224784. Graw, Heinrich, Charlottenburg, Waitzstr. 30. Hufeisen mit auswechselbarer Stahlbandlauffläche. 24/1 09. — A 1743.",1
18,"224997. Uptegraff, Alexander G., Lenox, Mass., V. St. A.; Vertr.: Dr S. Hamburger, Pat.-Anw., Berlin S.W. 68. Hufschuh; Zus. z. Pat. 219133. 8/4 09. — A 1784.",1
19,"228022. Meißner, Friedrich, Rathenow. Hufeisen mit auswechselbarem Laufkranz. 21/2 09. — A 2402.",1
20,"228058. Wahl, Alfred, Freiburg i/B. Hufeisen mit auswechselbaren Stollen und auswechsel- barem Griff, die mittels konischen Doppelzapfens im Eisen festgehalten werden. 15/6 09. — A 2401.",1
21,"228152. Schönfeld, Paul, Zschäschütz b/Döbeln i/S. Hufeisen mit auswechselbarem Steckgriff; Zus. z. Pat. 223385. 9/6 09. — A 2450.",1
22,"229090. Munk, Heinrich, Berlin, Kurfürstendamm 50. Zweiteiliges Hufeisen mit elastischer Zwischenlage. 15/12 08.",1
23,"218169. Peremarton, von, Akos Nagy Nyiregyháza, Miklos Sőtér, Barantóhegy u. Jakob Landauer, Ersemjén, Ung.; Vertr.: R. Deißler, Dr. G. Düllner, M. Seiler, C. Maemecke u. W. Hildebrandt, Pat.-Anwälte, Berlin S. W. 61. Druckventil für den Kompressor von durch Luftdruck betriebenen Peronosporasprizen. 20/9 08. — A 426.",1
24,"219658. Roeder, Wilhelm, Hannover, Friesenstr. 52. Selbsttätig wirkende Vogelscheuche. 10/12 08. — A 736.",1
25,"220334. Thieme, Dr. Carl, Zeiß. Verfahren zur Herstellung der Fangbänder für Fliegen- oder Insektenfänger. 20/3 09. — A 875.",1
