id,entry,patent_id,name,location,description,date
1,trolyse wässriger Flüssigkeiten. 14/9 05. — A 2526.,NaN,NaN,NaN,NaN,NaN
2,"188139. Badische Anilin- & Soda-Fabrik, Ludwigshafen a/Rh. Verfahren zur Darstellung haltbarer wasserfreier Hydrosulfite; Zus. z. Pat. 171991. 30/7 05. — A 2526.",188139,Badische Anilin- & Soda-Fabrik,Ludwigshafen a/Rh,Verfahren zur Darstellung haltbarer wasserfreier Hydrosulfite,30/7 05
3,"188188. Badische Anilin- & Soda-Fabrik, Ludwigshafen a/Rh. Verfahren zur Darstellung von reinen Nitriten aus nitrosen Gasen. 27/1 06. — A 2566.",188188,Badische Anilin- & Soda-Fabrik,Ludwigshafen a/Rh,Verfahren zur Darstellung von reinen Nitriten aus nitrosen Gasen,27/1 06
4,"188524. Chemische Fabrik Griesheim-Elektron, Frank= furt a/M. Verfahren zur Darstellung von be= ständigem, festem Calciumhypochlorit. 27/4 06. — A 2628.",188524,Chemische Fabrik Griesheim-Elektron,Frankfurt a/M,"Verfahren zur Darstellung von beständigem, festem Calciumhypochlorit",27/4 06
5,"188569. Merck, E., Fa, Darmstadt. Verfahren zur Darstellung von saurem Natriumpercarbonat. 3/2 05. — A 2526.",188569,"Merck, E., Fa",Darmstadt,Verfahren zur Darstellung von saurem Natriumpercarbonat,3/2 05
6,"188570. Electrochemische Werke, G. m. b. H., Bitterfeld. Verfahren zur Herstellung von Calciumhydrür. 20/5 05. — A 2526.",188570,"Electrochemische Werke, G. m. b. H.",Bitterfeld,Verfahren zur Herstellung von Calciumhydrür,20/5 05
7,"188901. Stange, L., Aachen, Alsenstr. 44. Verfahren und Vorrichtung zur Konzentration von Schwefelsäure. 27/4 05. — A 2628.",188901,"Stange, L.","Aachen, Alsenstr. 44",Verfahren und Vorrichtung zur Konzentration von Schwefelsäure,27/4 05
8,"189088. Badische Anilin- & Soda-Fabrik, Ludwigshafen a/Rh. Verfahren zur Darstellung haltbarer Hydrosulfite; Zus. z. Pat. 171362. 21/9 06. — A 2578.",189088,Badische Anilin- & Soda-Fabrik,Ludwigshafen a/Rh,Verfahren zur Darstellung haltbarer Hydrosulfite,21/9 06
9,"189224. Hartenstein, Herman Lewis, Constantine, Michi= gan, V. St. A.; Vertr.: E. v. Nießen, Pat.-Anw., Berlin W. 50. Verfahren zur Herstellung von Carbid. 1/5 06. — A 2743.",189224,"Hartenstein, Herman Lewis","Constantine, Michigan, V. St. A.",Verfahren zur Herstellung von Carbid,1/5 06
10,"189320. von Seemen, Erich, Paris: Vertr.: H. Neubart, Pat.-Anw., Berlin S.W. 61. Verfahren zur Her= stellung von für die keramische Industrie sowie als Füllmittel für Farben udgl. geeignetem Magnesiumsilikat. 12/9 06. — A 2818.",189320,"von Seemen, Erich",Paris,Verfahren zur Herstellung von für die keramische Industrie sowie als Füllmittel für Farben udgl. geeignetem Magnesiumsilikat,12/9 06
11,"189330. Niedensühr, Olga, geb. Chotko, Halensee b/Berlin. Verfahren zur Darstellung von Schwefelsäure nach dem Kammerprinzip unter Verwendung von gegebenenfalls mit Füllkörpern oder an= deren Widerständen ausgesetzten rohrähn= lichen Reaktionsräumen. 14/4 05. — A 2743.",189330,"Niedensühr, Olga, geb. Chotko",Halensee b/Berlin,Verfahren zur Darstellung von Schwefelsäure nach dem Kammerprinzip unter Verwendung von gegebenenfalls mit Füllkörpern oder anderen Widerständen ausgesetzten rohrähnlichen Reaktionsräumen,14/4 05
12,"189472. Nordyke & Marmon Company, Indianapolis, V. St. A.; Vertr.: E. W. Hopkins u. K. Osius, Pat.= Anwälte, Berlin S.W. 11. Vorrichtung zur Er= zeugung von Stickstoffsauerstoffverbindungen aus Ammoniak und Luft. 16/1 06. — A 2818.",189472,Nordyke & Marmon Company,"Indianapolis, V. St. A.",Vorrichtung zur Erzeugung von Stickstoffsauerstoffverbindungen aus Ammoniak und Luft,16/1 06
13,"189822. Jaubert, Dr George François, Paris; Vertr.: O. Siedentopf, Pat.-Anw., Berlin S.W. 68. Ver= fahren zur Herstellung von reinem Kalium= superoxyd oder eines an Kaliumsuperoxyd reichen Gemisches. 4/8 06. — A 2941.",189822,"Jaubert, Dr George François",Paris,Verfahren zur Herstellung von reinem Kaliumsuperoxyd oder eines an Kaliumsuperoxyd reichen Gemisches,4/8 06
