id,entry,patent_id,name,location,description,date
1,"266 533. Krupp, Fried., Akt.-Ges., Eſſen, Ruhr. Ofen mit Regenerativfeuerung, der durch Gaſe von geringem Heizwert beheizt wird. 9/12 11. — A 2430.",266533,"Krupp, Fried., Akt.-Ges.","Eſſen, Ruhr","Ofen mit Regenerativfeuerung, der durch Gaſe von geringem Heizwert beheizt wird",9/12 11
2,"267 090. Eickworth & Sturm G. m. b. H., Dortmund. Wärmeofen. 23/7 12. — A 2544.",267090,Eickworth & Sturm G. m. b. H.,Dortmund,Wärmeofen,23/7 12
3,"267 141. Trippenſee, Albert, Grünſtadt, Pfalz. Rekuperator mit in der Längsrichtung laufenden Rauchkanälen und in der Querrichtung darüber liegenden Luftkanälen. 28/2 12. — A 2544.",267141,"Trippenſee, Albert","Grünſtadt, Pfalz",Rekuperator mit in der Längsrichtung laufenden Rauchkanälen und in der Querrichtung darüber liegenden Luftkanälen,28/2 12
4,"268 697. Poetter G. m. b. H., Düſſeldorf. Stoßofen für Hochofengasfeuerung. 15/8 11.",268697,Poetter G. m. b. H.,Düſſeldorf,Stoßofen für Hochofengasfeuerung,15/8 11
5,"269 164. Hoeller, Wilhelm, Obercaſſel b/Bonn. Düſe mit Spreizfläche zur Miſchung von Gas und Luft für Gasfeuerungen. 28/12 11.",269164,"Hoeller, Wilhelm",Obercaſſel b/Bonn,Düſe mit Spreizfläche zur Miſchung von Gas und Luft für Gasfeuerungen,28/12 11
6,"256 197. Fried, Aloys, Barmen u. Maſchinenbau-Anſtalt Humboldt Akt.-Ges., Cöln-Kalk. Müllverbrennungsöfen. 13/6 07. — A 405.",256197,"Fried, Aloys, u. Maſchinenbau-Anſtalt Humboldt Akt.-Ges.",Barmen u. Cöln-Kalk,Müllverbrennungsöfen,13/6 07
7,"256 404. Müllverbrennungsgeſellſchaft m. b. H. Veſuvio, München. Entſchlackungsvorrichtung für Müllverbrennungsöfen mit dem Festhalten des Schlackenſchuhs und zum Abſtreifen von Schlackenſtücken. 7/9 11. — A 453.",256404,Müllverbrennungsgeſellſchaft m. b. H. Veſuvio,München,Entſchlackungsvorrichtung für Müllverbrennungsöfen mit dem Festhalten des Schlackenſchuhs und zum Abſtreifen von Schlackenſtücken,7/9 11
8,"256 566. Gemeinde Wien, ſtädtiſches Elektrizitätswerk, Wien; Vertr.: C. Gronert u. W. Zimmermann, Pat.-Anwälte, Berlin S.W. 61. Müllverbrennungsöfen mit Dampfkeſſelanlage und Hilfsfeuerungen, die mit Öl oder Gas betrieben werden. 11/12 10. — A 453.",256566,"Gemeinde Wien, ſtädtiſches Elektrizitätswerk",Wien,"Müllverbrennungsöfen mit Dampfkeſſelanlage und Hilfsfeuerungen, die mit Öl oder Gas betrieben werden",11/12 10
9,"257 576. Körting, Gebr., Akt.-Ges., Linden b/Hannover. Leichenverbrennungsofen mit Ölfeuerung. 30/6 11. — A 660.",257576,"Körting, Gebr., Akt.-Ges.",Linden b/Hannover,Leichenverbrennungsofen mit Ölfeuerung,30/6 11
10,"258 066. Siemens, Friedrich, Berlin, Mittelſtr. 21. Leicheneinäſcherungsofen mit Regeneratorfeuerungen und einem Gaserzeuger. 18/8 11. — A 762.",258066,"Siemens, Friedrich","Berlin, Mittelſtr. 21",Leicheneinäſcherungsofen mit Regeneratorfeuerungen und einem Gaserzeuger,18/8 11
11,"258 562. Birault, C., Paris; Vertr.: A. du Bois-Reymond, M. Wagner u. G. Lemke, Pat.-Anwälte, Berlin S.W. 11. Müllverbrennungsöfen. 7/10 11. — A 866.",258562,"Birault, C.",Paris,Müllverbrennungsöfen,7/10 11
12,"259 304. Fried, Aloys, Barmen, Friedrich-Wilhelm-Str. 4 u. Maſchinenbau-Anſtalt Humboldt Akt.-Ges., Cöln-Kalk. Einrichtung zur Ausnutzung der Abgaſe bei Müllverbrennungsanlagen zum Zwecke der Dampferzeugung. 7/1 10. — A 1020.",259304,"Fried, Aloys, u. Maſchinenbau-Anſtalt Humboldt Akt.-Ges.","Barmen, Friedrich-Wilhelm-Str. 4 u. Cöln-Kalk",Einrichtung zur Ausnutzung der Abgaſe bei Müllverbrennungsanlagen zum Zwecke der Dampferzeugung,7/1 10
13,"259 447. Müll-Schmelze und -Verſteinung G. m. b. H., Berlin. Müllverbrennungsöfen. 14/7 11. — A 1075.",259447,Müll-Schmelze und -Verſteinung G. m. b. H.,Berlin,Müllverbrennungsöfen,14/7 11
14,"263 725. Bunzlauer Werke Pringersdorff & Comp., Bunzlau, Schleſien. Verfahren und Vorrichtungen zur Einäſcherung von Leichen mit nur einer Wärmequelle. 6/7 11. — A 1924.",263725,Bunzlauer Werke Pringersdorff & Comp.,"Bunzlau, Schleſien",Verfahren und Vorrichtungen zur Einäſcherung von Leichen mit nur einer Wärmequelle,6/7 11
15,"263 783. Haaſe, Arthur, Arnsdorf b/Dresden. Einführvorrichtung für Öfen. 3/7 12. — A 1924.",263783,"Haaſe, Arthur",Arnsdorf b/Dresden,Einführvorrichtung für Öfen,3/7 12
16,"267 142. Heurtey, René, Paris; Vertr.: H. Neuenburg, Düſſeldorf, Pat.-Anw., Berlin W. 57. Verbrennungsöfen für Müll und ſonſtige Abfallſtoffe mit einem Drehroſt. 19/3 12. — A 2544.",267142,"Heurtey, René",Paris,Verbrennungsöfen für Müll und ſonſtige Abfallſtoffe mit einem Drehroſt,19/3 12
17,"267 474. Leaſt, Norman, Egremont, Engl.; Vertr.: A. Elliot, Pat.-Anw., Berlin S.W. 48. Beſchickungsvorrichtung für Müllverbrennungsöfen. 6/7 11. — A 2658. Priorität aus der Anmeldung in England vom 7/7 10 anerkannt.",267474,"Leaſt, Norman","Egremont, Engl.",Beſchickungsvorrichtung für Müllverbrennungsöfen,6/7 11
18,"267 547. Kühnau, Richard, Chemnitz i/Sa., Cruſiusſtr. 5. Sargeinführungsvorrichtung für Verbrennungsöfen. 27/5 11. — A 2658.",267547,"Kühnau, Richard","Chemnitz i/Sa., Cruſiusſtr. 5",Sargeinführungsvorrichtung für Verbrennungsöfen,27/5 11
19,"267 548. Kühnau, Richard, Chemnitz i/Sa., Cruſiusſtr. 5. Sargeinführungsvorrichtung für Verbrennungsöfen mit auf dem Einführungswagen in ſenkrechter Richtung beweglichem Sargträger; Zuſ. z. Pat. 267 547. 29/11 11. — A 2659.",267548,"Kühnau, Richard","Chemnitz i/Sa., Cruſiusſtr. 5",Sargeinführungsvorrichtung für Verbrennungsöfen mit auf dem Einführungswagen in ſenkrechter Richtung beweglichem Sargträger,29/11 11
20,"267 752. Müllverbrennungsgeſellſchaft m. b. H. Veſuvio, München. Beſchickungsvorrichtung für Müllöfen. 8/2 13.",267752,Müllverbrennungsgeſellſchaft m. b. H. Veſuvio,München,Beſchickungsvorrichtung für Müllöfen,8/2 13
21,"256 727. Heller, Fritz, Rasnau b/Pilſen, Böhmen; Vertr.: Pat.-Anwälte Dr K. Wirth, Dipl.-Ing. C. Weihe, Dr H. Weil, Frankfurt a/M. 1 u. W. Dame, Berlin S.W. 68. Gaserzeuger mit Luftzuführung in verſchiedene Zonen der Brennſtoffſäule. 29/3 12. — A 513.",256727,"Heller, Fritz","Rasnau b/Pilſen, Böhmen",Gaserzeuger mit Luftzuführung in verſchiedene Zonen der Brennſtoffſäule,29/3 12
