id,entry,patent_id,name,location,description,date
1,"30419. — MANHÈS, P., in Lyon, Frankreich; Vertreter: R. LÜDERS in Görlitz. Verfahren zur Behandlung gold- und silberhaltiger Mineralien und anderer Stoffe. 22. Juli 1884.",30419,"MANHÈS, P.","Lyon, Frankreich",Verfahren zur Behandlung gold- und silberhaltiger Mineralien und anderer Stoffe.,22. Juli 1884.
2,"26286. — MARTHAUS, A., in Oschatz. Neuerungen an Filz-, Fach- und ähnlichen Maschinen. (II. Zusatz zu P. R. 22799.) 12. April 1883. — A 247.",26286,"MARTHAUS, A.",Oschatz,"Neuerungen an Filz-, Fach- und ähnlichen Maschinen.",12. April 1883.
3,"26384. — VERO, CH., und J. EVERITT in London; Vertreter: J. MOELLER in Würzburg, Domstraße 34. Neuerungen in der Erzeugung plattirter Filzkörper für Hüte. 26. August 1883. — A 219.",26384,"VERO, CH., und J. EVERITT",London,Neuerungen in der Erzeugung plattirter Filzkörper für Hüte.,26. August 1883.
4,"(†) 26688. — BACKHOFF & CO., H., in Dresden-Altstadt. Verfahren und Einrichtung, um auf der LINON-Presse LINON-Façons und Filzhüte mittelst Dampfheizung herzustellen. 27. April 1883. — A 320.",26688,"BACKHOFF & CO., H.",Dresden-Altstadt,"Verfahren und Einrichtung, um auf der LINON-Presse LINON-Façons und Filzhüte mittelst Dampfheizung herzustellen.",27. April 1883.
5,27833. — GRAHL & HOEHL in Dresden. Maschine zum Façoniren von Hutkrämpen und zum Pressen von Hüten mittelst hydraulischen Druckes. 20. Dezember 1883. — A 553.,27833,GRAHL & HOEHL,Dresden,Maschine zum Façoniren von Hutkrämpen und zum Pressen von Hüten mittelst hydraulischen Druckes.,20. Dezember 1883.
6,"29423. — BRACHER, G. ST., in New-York, V. St. A.; Vertreter: C. KESSELER in Berlin SW., Königgrätzerstraße 47. Neuerung in der Behandlung von Stuhlrohr und Verwendung desselben zum Einfassen von Hutschweißleder und für andere Zwecke. 16. April 1884. — A 742.",29423,"BRACHER, G. ST.","New-York, V. St. A.",Neuerung in der Behandlung von Stuhlrohr und Verwendung desselben zum Einfassen von Hutschweißleder und für andere Zwecke.,16. April 1884.
7,"30474. — CHEETHAM, F. W., in Hyde, Grafschaft Chester, England; Vertreter: WIRTH & CO. in Frankfurt a. M. Einfassung des Schweißleders an Hüten. 22. Juli 1884.",30474,"CHEETHAM, F. W.","Hyde, Grafschaft Chester, England",Einfassung des Schweißleders an Hüten.,22. Juli 1884.
8,"26107. — GIESING, C. J., Oberlehrer an der Kgl. Realschule in Döbeln. Rechenapparat. 31. Juli 1883. — A 266.",26107,"GIESING, C. J.",Döbeln,Rechenapparat.,31. Juli 1883.
9,"26163. — STEVENS, J., in Neenah, Wisconsin, V. St. A.; Vertreter: J. BRANDT in Berlin W., Königgrätzerstraße 131. Neuerungen an selbstthätigen Wägevorrichtungen. 23. Mai 1883. — A 279.",26163,"STEVENS, J.","Neenah, Wisconsin, V. St. A.",Neuerungen an selbstthätigen Wägevorrichtungen.,23. Mai 1883.
10,"26184. — SHAVER, G. F., in Erie, Pennsylvanien, V. St. A.; Vertreter: BRYDGES & CO. in Berlin SW., Königgrätzerstr. 107. Wechselsystem für akustische Telephone. 1. März 1883. — A 248.",26184,"SHAVER, G. F.","Erie, Pennsylvanien, V. St. A.",Wechselsystem für akustische Telephone.,1. März 1883.
11,"26196. — SCHMIDT & HAENSCH, F., in Berlin. Photometer. 20. Juli 1883. — A 248.",26196,"SCHMIDT & HAENSCH, F.",Berlin,Photometer.,20. Juli 1883.
12,26254. — KALLMEYER & BLOM in Ottensen. Neuerung an oberschaligen Tafelwaagen. 10. August 1883. — A 248.,26254,KALLMEYER & BLOM,Ottensen,Neuerung an oberschaligen Tafelwaagen.,10. August 1883.
13,"26260. — WEIDTMAN, J., in Dortmund. Kontrolapparat für Bergwerksmaschinen. 20. Juli 1883. — A 248.",26260,"WEIDTMAN, J.",Dortmund,Kontrolapparat für Bergwerksmaschinen.,20. Juli 1883.
14,"26273. — WÖLNER, E., in Liverpool, County of Lancaster, England; Vertreter: C. KESSELER in Berlin SW., Königgrätzerstr. 47. Zeigerwaage mit hydraulischer Regulirung. 15. September 1883. — A 206.",26273,"WÖLNER, E.","Liverpool, County of Lancaster, England",Zeigerwaage mit hydraulischer Regulirung.,15. September 1883.
15,"(†) 26500. — MITCHELL, W. H., in Boston, Amerika; Vertreter: WIRTH & CO. in Frankfurt a. M. Stellzirkel. 27. Juni 1883. — A 249.",26500,"MITCHELL, W. H.","Boston, Amerika",Stellzirkel.,27. Juni 1883.
16,"(†) 26501. — WACHS, A., und O. LÜDOLFF in Leipzig, Hallesche Straße 12. Hilfsinstrument zum perspektivischen Zeichnen. 11. Juli 1883. — A 298.",26501,"WACHS, A., und O. LÜDOLFF","Leipzig, Hallesche Straße 12",Hilfsinstrument zum perspektivischen Zeichnen.,11. Juli 1883.
