id,entry,patent_id,name,location,description,date
1,"41 378. — MOEHRING, H., und A. PFLÜGER in Frankfurt a. M., ersterer: Ulmerstrafse 7. Schiebersteuerung mit Längs- und Querbewegung des Schiebers. (I. Zusatz zum Patent 37 554.) 27. Mai 1887.",41378,"MOEHRING, H., und A. PFLÜGER","Frankfurt a. M., ersterer: Ulmerstrafse 7",Schiebersteuerung mit Längs- und Querbewegung des Schiebers,27. Mai 1887
2,"41 449. — BROTHERHOOD, P., in Lambeth-Surrey, England; Vertreter: F. C. GLASER, Kgl. Kommissionsrath in Berlin SW., Lindenstrafse 80. Benutzung hohler Kurbelstangen als Dampfauslafs-Kanäle bei den durch Patent 25 596 geschützten Mehr - Cylinder - Maschinen. (II. Zusatz zum Patent 25 596.) 18. März 1887.",41449,"BROTHERHOOD, P.","Lambeth-Surrey, England",Benutzung hohler Kurbelstangen als Dampfauslafs-Kanäle bei den durch Patent 25 596 geschützten Mehr - Cylinder - Maschinen,18. März 1887
3,"41 464. — SPANDAU, E., in Magdeburg, Gr. Schulstrafse 14 III. Brause - Einrichtung für Kondensatoren. 1. Juni 1887.",41464,"SPANDAU, E.","Magdeburg, Gr. Schulstrafse 14 III",Brause - Einrichtung für Kondensatoren,1. Juni 1887
4,"41 476. — LATOWSKI, R., Eisenbahn - Maschinenmeister i. P. in Breslau, Gräbschnerstrafse 60. Pumpenvorrichtung für die Steuerung von Motoren. 26. Februar 1887.",41476,"LATOWSKI, R.","Breslau, Gräbschnerstrafse 60",Pumpenvorrichtung für die Steuerung von Motoren,26. Februar 1887
5,"41 477. — ERICSSON, J., in New-York, 262 Broadway; Vertreter: F. E. THODE & KNOOP in Dresden, Amalienstrafse 3. Neuerung an Verbunddampfmaschinen. 5. April 1887. — A 3.",41477,"ERICSSON, J.","New-York, 262 Broadway",Neuerung an Verbunddampfmaschinen,5. April 1887
6,"41 479. — PARSONS, CH. A., Mitinhaber der Firma CLARKE, CHAPMAN, PARSONS & CO. in Gateshead, Durham, England; Vertreter: F. E. THODE & KNOOP in Dresden, Amalienstrafse 3. Neuerungen an rotirenden Dampfmotoren. (Zusatz zum Patent 33 066.) 28. Mai 1887.",41479,"PARSONS, CH. A., Mitinhaber der Firma CLARKE, CHAPMAN, PARSONS & CO.","Gateshead, Durham, England",Neuerungen an rotirenden Dampfmotoren,28. Mai 1887
7,"41 480. — SANGERHÄUSER AKTIEN - MASCHINENFABRIK UND EISENGIESSEREI VORM. HORNUNG & RABE in Sangerhausen und F. J. WEISS in Basel, Schweiz; Vertreter: ROBERT R. SCHMIDT in Berlin SW., Königgrätzerstrafse 43. Rückschlagventil im Wasserzuflufsrohr für Kondensatoren mit anhängender Wassersäule. (Zusatz zum Patent 39 345.) 5. Juni 1887.",41480,SANGERHÄUSER AKTIEN - MASCHINENFABRIK UND EISENGIESSEREI VORM. HORNUNG & RABE und F. J. WEISS,"Sangerhausen und Basel, Schweiz",Rückschlagventil im Wasserzuflufsrohr für Kondensatoren mit anhängender Wassersäule,5. Juni 1887
8,"41 620. — RECKE, O., in Rheydt, Reg.-Bez. Düsseldorf. Neuerungen an zwangläufigen Ventilsteuerungen. (Zusatz zum Patent 36 007.) 16. April 1887. — A 3.",41620,"RECKE, O.","Rheydt, Reg.-Bez. Düsseldorf",Neuerungen an zwangläufigen Ventilsteuerungen,16. April 1887
9,"41 719. — PROELL, Dr. W. R., in Dresden. Neuerungen an den durch die Patente Nr. 1 919 und 11 062 geschützten Expansions-Regulir-Apparaten. Abhängig von den Patenten Nr. 1 919 und 11 062. (Zusatz zum Patent 29 705.) 25. Februar 1887. — A 69.",41719,"PROELL, Dr. W. R.",Dresden,Neuerungen an den durch die Patente Nr. 1 919 und 11 062 geschützten Expansions-Regulir-Apparaten. Abhängig von den Patenten Nr. 1 919 und 11 062,25. Februar 1887
10,"41 817. — BRENNICKE & CO., P., in Berlin SW., Markgrafenstrafse 19. Neuerung an Dampfmotoren. 3. Juni 1886. — A 35.",41817,"BRENNICKE & CO., P.","Berlin SW., Markgrafenstrafse 19",Neuerung an Dampfmotoren,3. Juni 1886
